Model,DPO4104
Firmware Version,2.48

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,2e-06,
Sample Interval,2e-10,
Record Length,100000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.1,0.1
Label,,
TIME,CH1,CH2
-9.85460e-06,0.006125,2.77556e-17
-9.85440e-06,0.00590625,1.5625e-05
-9.85420e-06,0.00575,-0.000171875
-9.85400e-06,0.00603125,-0.000296875
-9.85380e-06,0.00542188,-0.00034375
-9.85360e-06,0.00626563,-0.000984375
-9.85340e-06,0.00607813,-0.00129687
-9.85320e-06,0.00592188,-0.00178125
-9.85300e-06,0.00626563,-0.00171875
-9.85280e-06,0.00646875,-0.00228125
-9.85260e-06,0.00604688,-0.00257812
-9.85240e-06,0.00628125,-0.00265625
-9.85220e-06,0.00689063,-0.00217187
-9.85200e-06,0.00651563,-0.00217187
-9.85180e-06,0.00628125,-0.00220312
-9.85160e-06,0.00634375,-0.00217187
-9.85140e-06,0.00651563,-0.00153125
-9.85120e-06,0.00634375,-0.00121875
-9.85100e-06,0.00575,-0.0011875
-9.85080e-06,0.00590625,-0.000875
-9.85060e-06,0.00609375,-0.000796875
-9.85040e-06,0.0060625,-0.000578125
-9.85020e-06,0.00570313,-0.00103125
-9.85000e-06,0.00559375,-0.00145312
-9.84980e-06,0.00570313,-0.00153125
-9.84960e-06,0.00579688,-0.00101562
-9.84940e-06,0.00640625,-0.00103125
-9.84920e-06,0.00529688,-0.00232812
-9.84900e-06,0.00604688,-0.00189062
-9.84880e-06,0.005875,-0.00257812
-9.84860e-06,0.00623438,-0.00254687
-9.84840e-06,0.00665625,-0.00232812
-9.84820e-06,0.00615625,-0.00245312
-9.84800e-06,0.00634375,-0.00248437
-9.84780e-06,0.00614063,-0.0026875
-9.84760e-06,0.00651563,-0.00270312
-9.84740e-06,0.00603125,-0.0028125
-9.84720e-06,0.0063125,-0.00214062
-9.84700e-06,0.005875,-0.00203125
-9.84680e-06,0.00570313,-0.00207812
-9.84660e-06,0.00592188,-0.0016875
-9.84640e-06,0.00551563,-0.00170312
-9.84620e-06,0.00534375,-0.0020625
-9.84600e-06,0.00545313,-0.00195312
-9.84580e-06,0.00615625,-0.00084375
-9.84560e-06,0.0054375,-0.00145312
-9.84540e-06,0.00575,-0.00139062
-9.84520e-06,0.00559375,-0.00157812
-9.84500e-06,0.00576563,-0.00117187
-9.84480e-06,0.00596875,-0.000953125
-9.84460e-06,0.00525,-0.00114062
-9.84440e-06,0.00570313,-0.000828125
-9.84420e-06,0.00632813,-0.00120312
-9.84400e-06,0.00659375,-0.00129687
-9.84380e-06,0.00646875,-0.00121875
-9.84360e-06,0.006375,-0.00164062
-9.84340e-06,0.00596875,-0.0016875
