Model,DPO4104
Firmware Version,2.48

Point Format,Y,,,,Point Format,Y
Horizontal Units,S,,,,Horizontal Units,Hz
Horizontal Scale,2e-06,,,,Horizontal Scale,2.5e+08
Sample Interval,2e-10,,,,Sample Interval,25000
Record Length,100000,,,,Record Length,100000
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,,Gating,0.0% to 100.0%
Probe Attenuation,1,1,1,,Probe Attenuation,1
Vertical Units,V,V,V,,Vertical Units,V
Vertical Offset,0,0,0,,Vertical Offset,0
Vertical Scale,0.1,0.1,1,,Vertical Scale,0.0005
Label,,,,,Label,
TIME,CH1,CH2,CH3,,TIME,MATH
-9.83820e-06,0.00770312,0.00601562,3.87125,,3.42500e+06,2.47656e-05
-9.83800e-06,0.00742187,0.00609375,3.86922,,3.45000e+06,2.40625e-05
-9.83780e-06,0.00746875,0.0060625,3.87047,,3.47500e+06,2.41406e-05
-9.83760e-06,0.0076875,0.00609375,3.87359,,3.50000e+06,2.42969e-05
-9.83740e-06,0.007375,0.00604688,3.86937,,3.52500e+06,2.4375e-05
-9.83720e-06,0.00720312,0.00623438,3.86578,,3.55000e+06,2.44531e-05
-9.83700e-06,0.00739062,0.00620313,3.86688,,3.57500e+06,2.46094e-05
-9.83680e-06,0.00751562,0.00601562,3.86734,,3.60000e+06,2.48437e-05
-9.83660e-06,0.00714062,0.005875,3.87016,,3.62500e+06,2.46875e-05
-9.83640e-06,0.00689062,0.00607813,3.86906,,3.65000e+06,2.45312e-05
-9.83620e-06,0.00710938,0.00610938,3.87016,,3.67500e+06,2.42969e-05
-9.83600e-06,0.00765625,0.00595313,3.86922,,3.70000e+06,2.40625e-05
-9.83580e-06,0.00701562,0.00590625,3.87094,,3.72500e+06,2.44531e-05
-9.83560e-06,0.00689062,0.00607813,3.86969,,3.75000e+06,2.48437e-05
-9.83540e-06,0.00723438,0.00571875,3.86516,,3.77500e+06,2.48437e-05
-9.83520e-06,0.0066875,0.00564063,3.86437,,3.80000e+06,2.48437e-05
-9.83500e-06,0.00695312,0.00534375,3.86937,,3.82500e+06,2.40625e-05
-9.83480e-06,0.007625,0.005875,3.87234,,3.85000e+06,2.32812e-05
-9.83460e-06,0.0065625,0.00529688,3.865,,3.87500e+06,2.26562e-05
-9.83440e-06,0.00710938,0.00539063,3.86859,,3.90000e+06,2.21094e-05
