Model,DPO4104
Firmware Version,2.48

Point Format,Y,,
Horizontal Units,S,,
Horizontal Scale,2e-06,,
Sample Interval,2e-10,,
Record Length,100000,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,0.1,0.1,1
Label,,,
TIME,CH1,CH2,CH3
-9.80500e-06,0.00560937,-0.00135937,0.820469
-9.80480e-06,0.00515625,-0.00185937,0.817031
-9.80460e-06,0.00582813,-0.00164063,0.814219
-9.80440e-06,0.00545313,-0.00184375,0.815937
-9.80420e-06,0.0056875,-0.00153125,0.81625
-9.80400e-06,0.005375,-0.00189063,0.811875
-9.80380e-06,0.00510937,-0.0024375,0.817031
-9.80360e-06,0.00532813,-0.00210937,0.816875
-9.80340e-06,0.00489062,-0.002125,0.8175
-9.80320e-06,0.00559375,-0.00214062,0.815
-9.80300e-06,0.00525,-0.00257812,0.813281
-9.80280e-06,0.00546875,-0.00217187,0.814375
-9.80260e-06,0.00539062,-0.00221875,0.81375
-9.80240e-06,0.00570313,-0.00215625,0.818125
-9.80220e-06,0.0054375,-0.00242187,0.815469
-9.80200e-06,0.00564062,-0.0020625,0.814375
-9.80180e-06,0.00546875,-0.00246875,0.816875
-9.80160e-06,0.00548437,-0.00271875,0.812344
-9.80140e-06,0.00570313,-0.00254688,0.814531
-9.80120e-06,0.00548437,-0.00253125,0.812031
-9.80100e-06,0.00539062,-0.0026875,0.812656
-9.80080e-06,0.0054375,-0.00271875,0.81625
-9.80060e-06,0.00564062,-0.00242187,0.815312
-9.80040e-06,0.00525,-0.00279688,0.811406
-9.80020e-06,0.00534375,-0.00332812,0.815937
-9.80000e-06,0.00539062,-0.00307812,0.811406
-9.79980e-06,0.00546875,-0.00285937,0.811875
-9.79960e-06,0.0055625,-0.0028125,0.820625
-9.79940e-06,0.00489062,-0.00375,0.808437
-9.79920e-06,0.005375,-0.00307812,0.812656
-9.79900e-06,0.00570313,-0.0035,0.812344
-9.79880e-06,0.00575,-0.00354688,0.814375
-9.79860e-06,0.00584375,-0.00326562,0.817812
-9.79840e-06,0.00532813,-0.00320313,0.813594
-9.79820e-06,0.00589062,-0.0035625,0.813125
-9.79800e-06,0.00575,-0.0035625,0.811094
-9.79780e-06,0.00584375,-0.00326562,0.814219
-9.79760e-06,0.005625,-0.00357812,0.812187
-9.79740e-06,0.00548437,-0.00359375,0.815156
-9.79720e-06,0.00582813,-0.00351562,0.816094
-9.79700e-06,0.00554687,-0.00389062,0.811094
-9.79680e-06,0.00585938,-0.0030625,0.812969
-9.79660e-06,0.00573437,-0.00357812,0.814375
-9.79640e-06,0.0055,-0.00382812,0.811094
-9.79620e-06,0.006,-0.0033125,0.814531
-9.79600e-06,0.005875,-0.00303125,0.816875
-9.79580e-06,0.00540625,-0.00334375,0.812344
-9.79560e-06,0.00534375,-0.00326562,0.813125
-9.79540e-06,0.00570313,-0.00339062,0.814688
-9.79520e-06,0.00575,-0.00315625,0.813594
-9.79500e-06,0.00553125,-0.00328125,0.814062
-9.79480e-06,0.00578125,-0.00309375,0.809063
-9.79460e-06,0.00570313,-0.00314062,0.812812
-9.79440e-06,0.0055,-0.00325,0.815625
-9.79420e-06,0.00565625,-0.0026875,0.814219
