time	V_out
9.82221575540768121E-8	-1.77768242144792610E-5
9.82766059201030728E-8	-1.99195970403083122E-5
9.83185446913771699E-8	-4.36432914628317725E-6
9.83673488333475987E-8	2.58138200337445456E-5
9.84228297200925262E-8	4.31706119268587241E-5
9.85466450077565526E-8	3.06347282929112552E-5
9.86136903566489309E-8	-2.22668455922000019E-5
9.86689455898082279E-8	-5.98446445251923276E-5
9.87293039381933291E-8	-6.55403128878397290E-5
9.88359199682581391E-8	-2.71180081055453703E-5
9.88907556345026961E-8	2.24589130047369911E-7
9.89459723167966665E-8	2.05775410586828533E-5
9.90255495295864030E-8	2.67800705738201250E-5
9.90811777075452227E-8	1.94136494864579001E-5
9.91324890155498117E-8	9.07929729958722831E-6
9.91887972801682949E-8	-4.94603986797890371E-6
9.92780779111156164E-8	-9.41412015943261338E-6
9.93379917676843327E-8	2.23189634576454221E-5
9.93903228215850199E-8	4.57287641123381139E-5
9.94472403041288899E-8	5.17780357348002784E-5
9.95027659531926112E-8	5.34274855112688307E-5
9.95600294985246492E-8	2.95960173444812780E-5
9.96074990022990292E-8	-1.33830369750293476E-5
9.96617529483430253E-8	-5.54903016780885938E-5
9.97268698422846001E-8	-7.21837445260678390E-5
9.97818725525545602E-8	-6.30608377716797186E-5
9.98245937710078124E-8	-4.97528576320615290E-5
9.98737193312180871E-8	-2.29057368279312845E-5
9.99313927563876447E-8	7.20011232056827666E-6
1.00010412277537286E-7	2.58964267340974352E-5
1.00075839354178009E-7	2.02934185986287963E-5
1.00127371566874501E-7	1.09439044935516305E-5
1.00182674468241295E-7	2.57348484723114534E-6
1.00261540169990071E-7	4.72958654391281286E-6
1.00326866120471614E-7	3.34731265489739549E-5
1.00378082359934395E-7	5.97169552811645588E-5
1.00433852806993862E-7	6.91786094176588406E-5
1.00549299987006324E-7	4.35567149753605420E-5
1.00609507798557463E-7	-6.43483223898690682E-6
1.00664206043361859E-7	-5.51418952051150946E-5
1.00724019825336386E-7	-7.91769769535310086E-5
1.00811421274569080E-7	-7.43147096608494184E-5
1.00863281204086919E-7	-5.05684499468716098E-5
1.00916799993781470E-7	-1.93734108895723067E-5
1.00982745321837464E-7	9.62381263869916559E-6
1.01071032621903067E-7	1.57431723616633934E-5
1.01122760138691614E-7	6.81553756438066216E-6
1.01177903304863825E-7	3.51702804038465633E-6
1.01246237418004981E-7	1.16602139172267671E-5
1.01313823518792234E-7	4.41019232999541622E-5
1.01364093640711306E-7	7.50038342156073234E-5
1.01417806242005804E-7	8.88326742929452351E-5
1.01487213592887482E-7	8.26489963850031373E-5
1.01543013496898404E-7	6.48357588838783805E-5
1.01588105201598244E-7	3.21926255860129018E-5
1.01639890637352548E-7	-1.90954159841682580E-5
1.01698768681313245E-7	-6.46294957429155303E-5
1.01755582920154897E-7	-8.17133067808104308E-5
1.01812218183713532E-7	-8.46819706504339464E-5
1.01860013052666343E-7	-6.94242073273003601E-5
1.01914699955438026E-7	-4.10880284543654284E-5
1.01980995311925504E-7	-1.05811793520180597E-5
