Model,DPO4104
Firmware Version,2.48

Point Format,Y,,
Horizontal Units,S,,
Horizontal Scale,2e-06,,
Sample Interval,2e-10,,
Record Length,100000,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,0.1,0.1,2
Label,,,
TIME,CH1,CH2,CH3
-9.90080e-06,0.00432813,-0.00509375,6.01031
-9.90060e-06,0.00425,-0.00571875,6.02125
-9.90040e-06,0.00440625,-0.0058125,6.0325
-9.90020e-06,0.00417188,-0.00579687,6.05156
-9.90000e-06,0.00403125,-0.00573438,6.04688
-9.89980e-06,0.0041875,-0.0053125,6.06594
-9.89960e-06,0.00389063,-0.005625,6.06781
-9.89940e-06,0.00432813,-0.00564063,6.06656
-9.89920e-06,0.00409375,-0.00514063,6.07781
-9.89900e-06,0.00484375,-0.00584375,6.08656
-9.89880e-06,0.004375,-0.00564063,6.08531
-9.89860e-06,0.00465625,-0.00589062,6.08094
-9.89840e-06,0.00440625,-0.00557812,6.08688
-9.89820e-06,0.0044375,-0.005625,6.07781
-9.89800e-06,0.00460937,-0.00582813,6.08219
-9.89780e-06,0.0044375,-0.00540625,6.10156
-9.89760e-06,0.003875,-0.005,6.10656
-9.89740e-06,0.00398438,-0.00459375,6.11563
-9.89720e-06,0.00398438,-0.00501562,6.12625
-9.89700e-06,0.00451563,-0.00548437,6.12656
-9.89680e-06,0.00434375,-0.00523438,6.12188
-9.89660e-06,0.00434375,-0.00482813,6.12438
-9.89640e-06,0.00454688,-0.00460937,6.11781
-9.89620e-06,0.00439063,-0.00429687,6.11594
-9.89600e-06,0.00457813,-0.0044375,6.12406
-9.89580e-06,0.00442188,-0.00484375,6.13406
-9.89560e-06,0.00445313,-0.00434375,6.13969
-9.89540e-06,0.00470313,-0.00451562,6.14125
-9.89520e-06,0.00459375,-0.004,6.13
-9.89500e-06,0.004375,-0.00390625,6.14219
-9.89480e-06,0.00453125,-0.00364063,6.155
-9.89460e-06,0.00451563,-0.00379687,6.15625
-9.89440e-06,0.0045625,-0.00385937,6.15062
-9.89420e-06,0.00457813,-0.00364063,6.14125
