time	V_in
8.25609392809628062E-8	-2.10638575214953327E-3
8.26086231219444045E-8	-2.21673771708399414E-3
8.26629136262304876E-8	-2.36813619164007561E-3
8.27291886054701919E-8	-2.49510835801488895E-3
8.28192067136141219E-8	-2.56827127555671098E-3
8.28715027139732996E-8	-2.63168104698280292E-3
8.29262303437804960E-8	-2.76746920501254534E-3
8.29943862288891232E-8	-3.02281336785420063E-3
8.30648612728545643E-8	-3.34467852296895751E-3
8.31151681467133585E-8	-3.60044043205980735E-3
8.31692627766519266E-8	-3.91171744022957357E-3
8.32379175701093565E-8	-4.27512035931033285E-3
8.32927195923056019E-8	-4.54016284691390037E-3
8.33378827243932996E-8	-4.79153918275692892E-3
8.33893122849774926E-8	-5.14051242525388385E-3
8.34703003167905777E-8	-5.63245149617141561E-3
8.35752826620636569E-8	-5.99092973184468391E-3
8.36312990717259730E-8	-6.13236001642402506E-3
8.36865113398634719E-8	-6.18669582486366476E-3
8.37573127111510729E-8	-6.08801886688509875E-3
8.38189450384276746E-8	-5.92960888552855714E-3
8.38693417545169417E-8	-5.78239557676267069E-3
8.39237132104850936E-8	-5.61346092542534070E-3
8.39978559831871507E-8	-5.36102683953675907E-3
8.40733040469102022E-8	-5.04587494273597859E-3
8.41245289630944626E-8	-4.83108843459834603E-3
8.41799801705244732E-8	-4.64175199279659445E-3
8.42516329459426494E-8	-4.41492698879644418E-3
8.43178617483942006E-8	-4.31062335767936489E-3
8.43684446315366010E-8	-4.27698823664809780E-3
8.44227578245352817E-8	-4.29346874376619780E-3
8.45071373755605038E-8	-4.31821219160754666E-3
8.45948210962899338E-8	-4.40078147894150984E-3
8.46487571878961020E-8	-4.50662053302657917E-3
8.47052903579965921E-8	-4.64579247303865017E-3
8.47904400172203410E-8	-4.95587054234234525E-3
8.48400786198698142E-8	-5.23104378458191199E-3
8.48925208449729851E-8	-5.58415182818643885E-3
8.49497122798214477E-8	-6.03139168515882851E-3
8.50098936809899008E-8	-6.50641055599047835E-3
8.50663031807610537E-8	-6.95159678349203691E-3
8.51144109828090123E-8	-7.33165714359098786E-3
8.51701220272747150E-8	-7.79486473989590856E-3
8.52379561608272418E-8	-8.38214933192731237E-3
8.53137853201019780E-8	-9.04670010080465836E-3
8.53646673660003863E-8	-9.44130428323727777E-3
8.54185763534476195E-8	-9.78480135944907126E-3
8.54862976788148821E-8	-1.01091607118672022E-2
8.55653612939851627E-8	-1.03293392247625038E-2
8.56160029362010455E-8	-1.03602299719809521E-2
8.56705730736905657E-8	-1.03337334919367185E-2
8.57549657419526845E-8	-1.01567992260575179E-2
8.58108060963039776E-8	-9.99363205010363131E-3
8.58606255938683383E-8	-9.81704078793772439E-3
8.59140009807930305E-8	-9.60510715248361002E-3
8.59837466807573136E-8	-9.23844584387891743E-3
8.60782678535239221E-8	-8.60391328009115952E-3
8.61311398512583182E-8	-8.24820401718261387E-3
8.61868501042910040E-8	-7.93272000416402889E-3
8.62863123317688085E-8	-7.58176413615074551E-3
8.63444916377317995E-8	-7.47879602162926371E-3
8.63983531628186263E-8	-7.45780660918081573E-3
8.64545717161686156E-8	-7.51053401602360804E-3
8.65355439335395360E-8	-7.71897314522933620E-3
8.65882236682246997E-8	-7.87703421012087102E-3
8.66391781766283486E-8	-8.10016286920511241E-3
8.66983362255536605E-8	-8.46238308971303432E-3
8.67862805548390526E-8	-9.15306063992424868E-3
8.68393206308722831E-8	-9.66360453689267729E-3
8.68921386745342517E-8	-1.02236207293911718E-2
8.69485797908731861E-8	-1.08397403060618047E-2
8.70091569739357951E-8	-1.14460090678800808E-2
